name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,SESY,ASER,ACR,CwASo
GB_GA_mut_r_0.5_100k_0,sim,csk,"7,134.0","90,794.0",34/46,0.7391304,0.0785735,0.373918,0.0047887,"24,710.0"
GB_GA_mut_r_0.5_100k_1,sim,csk,"4,196.0","84,640.0",28/44,0.6363636,0.0495747,0.0184338,0.0067179,"1,532.0"
GB_GA_mut_r_0.5_100k_2,sim,csk,"4,128.0","85,121.0",25/42,0.5952381,0.0484957,0.0365441,0.0060931,"3,001.0"
GB_GA_mut_r_0.5_100k_3,sim,csk,"4,474.0","85,767.0",19/42,0.452381,0.0521646,0.0924202,0.0042649,"7,256.0"
GB_GA_mut_r_0.5_100k_4,sim,csk,"4,386.0","85,812.0",16/42,0.3809524,0.0511117,0.0033909,0.0036613,290.0
GB_GA_mut_r_0.5_100k_mean,sim,csk,"4,863.6","86,426.8",-,0.5608131,0.055984,0.1049414,0.0051052,"7,357.8"
