name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,TUPOR_unique,TUPOR_set,SESY,ASER,CwASo
DrugEx_epsilon_0.01_0,dis,csk,"1,929.0","9,985.0",6/40,0.15,0.777605,0.1502253,0.1931898,0.0423635,423.0
DrugEx_epsilon_0.01_2,dis,csk,"3,251.0","9,998.0",1/40,0.025,0.0768994,0.025005,0.325165,0.0001,1.0
DrugEx_epsilon_0.01_3,dis,csk,"2,209.0","9,980.0",3/37,0.0810811,0.3670488,0.0812436,0.2213427,0.000501,5.0
DrugEx_epsilon_0.01_4,dis,csk,"5,228.0","9,999.0",6/43,0.1395349,0.2668992,0.1395488,0.5228523,0.0076008,76.0
DrugEx_epsilon_0.01_mean,dis,csk,"3,154.25","9,990.5",-,0.098904,0.3721131,0.0990057,0.3156374,0.0126413,126.25
