name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,SESY,ASER,ASR,CwASo,median_OS_IS
DrugEx_GT_epsilon_0.1_0,sim,csk,159254.0,822485.0,26/38,0.6842105,0.1936254,0.0082649,0.0001633,6742.0,0.5172413793103449
DrugEx_GT_epsilon_0.1_1,sim,csk,113778.0,791168.0,26/38,0.6842105,0.1438102,0.0440823,0.0002286,33404.0,0.5555555555555556
DrugEx_GT_epsilon_0.1_2,sim,csk,116779.0,881455.0,16/37,0.4324324,0.1324844,0.0023277,0.000137,2047.0,0.5352112676056338
DrugEx_GT_epsilon_0.1_3,sim,csk,142125.0,843014.0,31/35,0.8857143,0.1685915,0.0157591,0.0002182,13079.0,0.5614035087719298
DrugEx_GT_epsilon_0.1_4,sim,csk,151498.0,810360.0,13/35,0.3714286,0.1869515,0.0002259,8.58e-05,183.0,0.5945945945945946
DrugEx_GT_epsilon_0.1_mean,sim,csk,136686.8,829696.4,-,0.6115993,0.1650926,0.014132,0.0001666,11091.0,0.5555555555555556
