name,type_cluster,scaffold,USo,SSo,TUPOR,SESY,ASER,ACR,CwASo
Molpher_10k_mean,dis,murcko,3573.6,10301.0,0.0140172,0.3474747,0.0020518,0.0003366,20.6
REINVENT_10k_mean,dis,murcko,8904.0,9876.6,0.0099356,0.9011683,0.0004748,9.69e-05,4.6
DrugEx_GT_epsilon_0.1_10k_mean,dis,murcko,7777.4,9992.8,0.0368503,0.7783093,0.0011849,0.0003608,11.8
DrugEx_GT_epsilon_0.6_10k_mean,dis,murcko,8428.4,9993.0,0.074603,0.8434252,0.0017062,0.0006134,17.0
DrugEx_RNN_epsilon_0.1_10k_mean,dis,murcko,7440.2,9999.8,0.0184779,0.7440354,0.0006811,0.0001314,6.8
DrugEx_RNN_epsilon_0.6_10k_mean,dis,murcko,7119.2,9908.8,0.05696,0.7184188,0.0011931,0.0004973,11.8
GB_GA_mut_r_0.01_10k_mean,dis,murcko,8044.0,9999.4,0.0177329,0.8044486,0.0003002,0.0001731,3.0
GB_GA_mut_r_0.5_10k_mean,dis,murcko,7111.6,9999.6,0.02629,0.7111888,0.0004204,0.0002763,4.2
addcarbon_10k_mean,dis,murcko,1891.6,10000.0,0.0125956,0.18916,0.0006614,0.0003984,6.6
