name,type_cluster,scaffold,uniq_scaffolds,set_size,TUPOR_,TUPOR,TUPOR_unique,TUPOR_set,SESY,ASER,tRS
GB_GA_0,sim,csk,2455.0,10000.0,17/38,0.4473684,0.0885625,0.0217421,0.2455,0.0163,163.0
GB_GA_1,sim,csk,2663.0,10000.0,17/38,0.4473684,0.0396466,0.0105579,0.2663,0.0259,259.0
GB_GA_2,sim,csk,3034.0,10000.0,9/37,0.2432432,0.0108233,0.0032838,0.3034,0.0343,343.0
GB_GA_3,sim,csk,2620.0,10000.0,18/35,0.5142857,0.0123664,0.00324,0.262,0.0289,289.0
GB_GA_4,sim,csk,2751.0,9998.0,11/35,0.3142857,0.0047983,0.0013203,0.275155,0.005001,50.0
GB_GA_mean,sim,csk,2704.6,9999.6,-,0.3933103,0.0312394,0.0080288,0.270471,0.0220802,220.8
