name,type_cluster,scaffold,SSo,TUPOR_,TUPOR,SESY,ASER
Molpher_62.5k_0,dis,csk,"62,579.0",16/42,0.3809524,0.1964717,0.0075105
Molpher_62.5k_1,dis,csk,"62,701.0",15/41,0.3658537,0.1965519,0.0019298
Molpher_62.5k_2,dis,csk,"62,565.0",29/45,0.6444444,0.2027971,0.0035004
Molpher_62.5k_3,dis,csk,"62,517.0",20/47,0.4255319,0.2118144,0.0055985
Molpher_62.5k_4,dis,csk,"62,574.0",16/41,0.3902439,0.1951769,0.0038674
Molpher_62.5k_mean,dis,csk,"62,587.2",-,0.4414053,0.2005624,0.0044813
