name,type_cluster,phfp,UFo,SSo,TUPOR_,TUPOR,SESY,ASER,CwAFo,ACR,DIV
addcarbon_250k_0,dis,cdpkit,"10,473.0","250,000.0",35/275,0.1272727,0.041892,0.0139684,"3,444.0",0.0033531,0.0
addcarbon_250k_1,dis,cdpkit,"12,377.0","250,000.0",6/179,0.0335196,0.049508,0.0023455,585.0,0.000485,0.0
addcarbon_250k_2,dis,cdpkit,"12,900.0","250,000.0",35/130,0.2692308,0.0516,0.0088211,"2,186.0",0.0027206,0.0
addcarbon_250k_3,dis,cdpkit,"12,979.0","250,000.0",3/98,0.0306122,0.051916,0.0004322,108.0,0.0002312,0.0
addcarbon_250k_4,dis,cdpkit,"13,183.0","250,000.0",15/152,0.0986842,0.052732,0.0052312,"1,301.0",0.0011391,0.0
addcarbon_250k_mean,dis,cdpkit,"12,382.4","250,000.0",-,0.1118639,0.0495296,0.0061597,"1,524.8",0.0015858,0.0
