name,type_cluster,scaffold,USo,SSo,TUPOR,SESY,ASER,ACR,CwASo
Molpher_10k_mean,dis,murcko,3862.6,10109.4,0.0221253,0.382013,0.0021331,0.0005227,21.4
REINVENT_10k_mean,dis,murcko,9007.2,9870.0,0.03491,0.912415,0.0005266,0.0003542,5.2
DrugEx_GT_epsilon_0.1_10k_mean,dis,murcko,8307.8,9989.8,0.0435476,0.8316244,0.0072872,0.0004522,71.6
DrugEx_GT_epsilon_0.6_10k_mean,dis,murcko,8166.2,9951.8,0.1202894,0.8205895,0.0059079,0.0012876,58.2
DrugEx_RNN_epsilon_0.1_10k_mean,dis,murcko,6877.0,9871.0,0.0392652,0.6962844,0.0142992,0.0004405,137.8
DrugEx_RNN_epsilon_0.6_10k_mean,dis,murcko,7343.6,9841.8,0.0872341,0.7460263,0.0104519,0.0010113,100.8
GB_GA_mut_r_0.01_10k_mean,dis,murcko,4368.0,8955.0,0.028094,0.4794312,0.0067118,0.0006643,56.8
GB_GA_mut_r_0.5_10k_mean,dis,murcko,3073.2,8595.4,0.0519724,0.3574799,0.0431982,0.0013559,326.0
addcarbon_10k_mean,dis,murcko,2508.4,10000.0,0.0194818,0.25084,0.0005206,0.0007877,5.2
