name,type_cluster,scaffold,uniq_scaffolds,set_size,TUPOR_,TUPOR,SESY,ASER,tRS
DrugEx_0,sim,csk,278465.0,999918.0,33/44,0.75,0.2784878,0.0339388,33936.0
DrugEx_1,sim,csk,320097.0,999891.0,25/42,0.5952381,0.3201319,0.0227915,22789.0
DrugEx_2,sim,csk,284268.0,999921.0,23/40,0.575,0.2842905,0.0140661,14065.0
DrugEx_3,sim,csk,411654.0,999865.0,29/40,0.725,0.4117096,0.0176494,17647.0
DrugEx_4,sim,csk,399490.0,999837.0,22/40,0.55,0.3995551,0.0015653,1565.0
DrugEx_mean,sim,csk,338794.8,999886.4,-,0.6390476,0.338835,0.0180022,18000.4
