name,type_cluster,scaffold,SSo,TUPOR_,TUPOR,SESY,ASER
GB_GA_mut_r_0.01_250k_0,dis,csk,"241,317.0",26/42,0.6190476,0.0885723,0.046441
GB_GA_mut_r_0.01_250k_1,dis,csk,"238,527.0",23/41,0.5609756,0.0825106,0.0107535
GB_GA_mut_r_0.01_250k_2,dis,csk,"237,554.0",38/45,0.8444444,0.0693737,0.004761
GB_GA_mut_r_0.01_250k_3,dis,csk,"242,443.0",32/47,0.6808511,0.0846385,0.1485751
GB_GA_mut_r_0.01_250k_4,dis,csk,"237,659.0",23/41,0.5609756,0.0703108,0.0162165
GB_GA_mut_r_0.01_250k_mean,dis,csk,"239,500.0",-,0.6532589,0.0790812,0.0453494
