name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,SESY,ASER,ACR,CwASo
REINVENT_10k_0,dis,csk,"3,083.0","9,948.0",4/40,0.1,0.3099115,0.0007042,0.0012991,7.0
REINVENT_10k_1,dis,csk,"4,528.0","9,889.0",1/23,0.0434783,0.4578825,0.0001011,0.0002209,1.0
REINVENT_10k_2,dis,csk,"3,464.0","9,958.0",0/40,0.0,0.347861,0.0,0.0,0.0
REINVENT_10k_3,dis,csk,"4,267.0","9,700.0",11/37,0.2972973,0.4398969,0.013796,0.0025846,132.0
REINVENT_10k_4,dis,csk,"4,627.0","9,882.0",3/43,0.0697674,0.4682251,0.0060063,0.0006488,59.0
REINVENT_10k_mean,dis,csk,"3,993.8","9,875.4",-,0.1021086,0.4047554,0.0041215,0.0009507,39.8
