chembl_id,pchembl_value,canonical_smiles,scaffolds_csk
30,CHEMBL310420,8.38,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)Cc1ccccc1,C1CCC(CCC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1
31,CHEMBL79378,8.2,COc1ccc(C[C@H](O)[C@H]2CCCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)cc1,C1CCC(CCC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1
32,CHEMBL81111,8.05,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)c1ccc(Cl)cc1,C1CCC(CC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1
33,CHEMBL310365,8.14,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)c1ccccc1F,C1CCC(CC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1
34,CHEMBL313400,8.1,COc1cc([C@H](O)[C@H]2CCCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)ccc1F,C1CCC(CC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1
35,CHEMBL419479,8.47,Cc1ccc(C[C@H](O)[C@H]2CCCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)cc1,C1CCC(CCC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1
36,CHEMBL309909,7.6,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)c1cccc(O)c1,C1CCC(CC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1
37,CHEMBL440877,7.78,CC(C)(C)c1ccc(C[C@H](O)[C@H]2CCCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)cc1,C1CCC(CCC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1
38,CHEMBL312399,8.82,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)CCC1CC1,C1CCC(C2CCC3CC4C(CCCC5CC5)CCCC4CC32)CC1
39,CHEMBL312627,7.11,CC(C)(C)[C@H](O)[C@H]1CCCC2=Cc3c(cnn3-c3ccc(F)cc3)C[C@@]21C,C1CCC(C2CCC3CC4CCCCC4CC32)CC1
40,CHEMBL81397,8.02,C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CCC[C@@H]2[C@@H](O)c1ccc(O)cc1,C1CCC(CC2CCCC3CC4C(CCC4C4CCCCC4)CC23)CC1
41,CHEMBL65498,7.665,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1ccsc1)O2,C1CCC2C(C1)CC(C1CCCC1)C1CCCCC21
42,CHEMBL293452,7.904999999999999,COc1cccc2c1-c1ccc(NS(C)(=O)=O)cc1C(c1cc(C)cc(C)c1)O2,C1CCC(C2CC3CCCCC3C3CCCCC23)CC1
