name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,SESY,ASER,CwASo
GB_GA_mut_r_0.5_250k_0,dis,csk,12127.0,188921.0,15/42,0.3571429,0.0641909,0.0238067,4393.0
GB_GA_mut_r_0.5_250k_1,dis,csk,13627.0,189461.0,11/41,0.2682927,0.0719251,0.001962,371.0
GB_GA_mut_r_0.5_250k_2,dis,csk,16859.0,202157.0,11/45,0.2444444,0.0833956,0.0004652,94.0
GB_GA_mut_r_0.5_250k_3,dis,csk,35309.0,249958.0,24/47,0.5106383,0.1412597,0.0194378,4766.0
GB_GA_mut_r_0.5_250k_4,dis,csk,12336.0,184263.0,9/41,0.2195122,0.0669478,0.0296611,5308.0
GB_GA_mut_r_0.5_250k_mean,dis,csk,18051.6,202952.0,-,0.3200061,0.0855438,0.0150666,2986.4
