index,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4
mean,0.19342705126006846,0.1784933585599876,0.2464881241639063,0.20925017980011396,0.23600882138744653
min,0.06936416184971098,0.05925925925925926,0.0851063829787234,0.07567567567567568,0.07339449541284404
max,0.972972972972973,0.9811320754716981,0.98,0.9775280898876404,0.9680851063829787
