Cluster,Mean_Similarity,Median_Similarity,Std_Similarity
0,0.3401271602563972,0.310960960960961,0.14681969809118342
1,0.31379499253078597,0.27941176470588236,0.15225932150686608
2,0.3751752625790344,0.3378452533382111,0.1567827215930074
3,0.3396030793100419,0.31057781919850885,0.1448212665885002
4,0.3811377681672276,0.35,0.16112000399367596
