index,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4
cluster_0_min,-,0.03515625,0.05734767025089606,0.04,0.05263157894736842
cluster_1_min,0.03515625,-,0.035398230088495575,0.043478260869565216,0.05442176870748299
cluster_2_min,0.05734767025089606,0.035398230088495575,-,0.046875,0.047619047619047616
cluster_3_min,0.04,0.043478260869565216,0.046875,-,0.04666666666666667
cluster_4_min,0.05263157894736842,0.05442176870748299,0.047619047619047616,0.04666666666666667,-
