unique_scaffold_recall,count_of_occurance,uniq_occurance
c1ccc(-n2ncc3cc(OCc4cnc5ccccc5c4)ccc32)cc1,0,0
c1ccc(-n2ncc3cc(OCc4ccc5c(c4)OCOC5)ccc32)cc1,0,0
c1ccc(-n2ncc3cc(OCc4ccc5c(c4)COCO5)ccc32)cc1,0,0
c1ccc(-n2ncc3cc(OCc4ccc5ccccc5c4)ccc32)cc1,0,0
c1ccc(CCCCc2cc3cc(N4CCOCC4)ncc3[nH]2)cc1,0,0
c1ccc(CCCCc2cc3nc(-c4ccccc4)ncc3[nH]2)cc1,0,0
c1ccc(CCCCc2cc3cc(-c4ccccc4)ncc3[nH]2)cc1,0,0
c1ccc(CCCCc2cc3nc(-c4cccnc4)ncc3[nH]2)cc1,0,0
c1ccc(CCCCc2cc3nc(N4CCOCC4)ncc3[nH]2)cc1,0,0
c1ccc(CCCCc2cc3cc(-c4ccccc4)nnc3[nH]2)cc1,0,0
O=S1(=O)CCN(c2ncc3[nH]c(CCCCc4ccccc4)cc3n2)CC1,0,0
c1ccc(-n2ncc3cc(OCc4ccc5c(c4)OCC5)ccc32)cc1,369,1
c1ccc(CNc2cccc3ncccc23)cc1,411,1
O=S(=O)(NCCc1ccccc1)c1ccccc1,33,1
c1ccc(CCCCc2ccccc2)cc1,330,1
O=C1CCN(CCCCc2ccccc2)CC1,0,0
c1ccc(CCCCN2CCOCC2)cc1,0,0
c1ccc(CCCCNc2cccc3ncccc23)cc1,8,1
O=c1[nH]ccc2c(NCCCCc3ccccc3)cccc12,0,0
c1ccc(CCCCNc2cccc3ccccc23)cc1,1,1
O=S(=O)(NCCOc1cccc2cnccc12)c1ccccc1,3,1
O=c1ccc2c(NC3CCCc4ccccc43)cccc2[nH]1,0,0
c1ccc2c(c1)CCCC2Nc1cccc2ncccc12,0,0
O=c1[nH]ccc2c(NC3CCCc4ccccc43)cccc12,0,0
O=c1ccn(CCCCc2ccccc2)c2ccccc12,22,1
O=C1CCN(CCCCc2ccccc2)c2ccccc21,0,0
O=S(=O)(NCCc1cccc2ccccc12)c1ccccc1,0,0
c1ccc(CCCCN2CCOc3ccccc32)cc1,0,0
c1ccc(CCCCc2cccc3ccccc23)cc1,0,0
O=c1ccn(CCCCc2ccccc2)c2ccncc12,0,0
O=c1ccn(CCCCc2ccccc2)c2cccnc12,0,0
O=C(NCCCNc1cccc2c1cnn2-c1ccccc1)c1ccccc1,3,1
