unique_scaffold_recall,count_of_occurrence,unique_indicator
O=C1CCC2=C1C(c1ccccc1C(=O)NC1C3CC1C3)NC(=O)N2c1ccccc1,4,1
O=c1oc(-c2cccnc2N2CCCC2)nc2ccccc12,0,0
O=c1oc(-c2cccnc2-n2ccnc2)nc2ccccc12,0,0
c1ccc2[nH]ncc2c1,395,1
c1cnc2[nH]ccc2c1,33,1
O=c1oc(-c2cccnc2N2CCNCC2)nc2ccccc12,0,0
O=c1oc(-c2cccnc2N2CCCCC2)nc2ccccc12,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)N1CCC(N3CCOCC3)C1)NC(=O)N2c1ccccc1,5,1
O=C1C=CCC=CCCC=CC=CC=CCCCC=CC=CCC(c2cscn2)O1,0,0
O=C1CC=CC=CCCC=CC=CC=CCCCC=CC=CCC(c2cscn2)O1,0,0
O=c1oc(-c2cccnc2N2CCN(C3CCNCC3)CC2)nc2ccccc12,0,0
O=c1oc(-c2cccnc2N2CCNCC2)nc2cccc(C3CCC3)c12,0,0
O=c1oc(-c2cccnc2N2CCN(C3CCCC3)CC2)nc2ccccc12,0,0
O=c1oc(-c2cccnc2N2CCNCC2)nc2cccc(C3CC3)c12,0,0
O=c1oc(-c2cccnc2N2CCCCC2)nc2cccc(C3CC3)c12,0,0
O=C1CC2N1C=CC(=C1SCCS1)S2(=O)=O,0,0
O=C1CCC2=C1C(c1ccccc1)N(CC(=O)N1CCN3CCCC3C1)C(=O)N2c1ccccc1,6,1
O=C1CCC2=C1C(c1ccccc1C(=O)N1CCN3CCOCC3C1)NC(=O)N2c1ccccc1,6,1
O=C1CCC2=C1C(c1ccccc1C(=O)N1CC3CC1C[NH2+]3)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)N1CC3CC1CN3)NC(=O)N2c1ccccc1,8,1
O=C1CCC2=C1C(c1ccccc1-c1ccc3[nH]ccc3c1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1-c1ccc3[nH]ncc3c1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1-c1ccc3occc3c1)NC(=O)N2c1ccccc1,0,0
O=C1CCC2=C1C(c1ccccc1)N(CC(=O)N1CCc3[nH]c(=O)ccc3C1)C(=O)N2c1ccccc1,0,0
O=C1CC2N1CCS2(=O)=O,53,1
O=c1oc(-c2cccnc2N2CCN(C3CCNCC3)CC2)nc2cccc(C3CCC3)c12,0,0
O=c1oc(C2=CCCc3ccccc32)nc2ccccc12,0,0
c1ccc(-c2cc(-c3c[nH]c4ccccc34)nc3ccccc23)cc1,0,0
C1=CN(c2ccccc2)c2nc3cncnc3n2C1c1ccccc1,0,0
O=c1oc(-c2cccnc2N2CCN(CC3CC3)CC2)nc2ccccc12,0,0
O=c1oc(-c2cccnc2N2CCN(C3CCNCC3)CC2)nc2cccc(C3CC3)c12,0,0
O=C1NC(c2ccccc2-c2ccc3[nH]ncc3c2)C=CN1c1ccccc1,0,0
O=C1NC(c2ccccc2-c2ccc3[nH]ccc3c2)C=CN1c1ccccc1,0,0
O=C1NC(c2ccccc2-c2ccc3occc3c2)C=CN1c1ccccc1,0,0
O=c1oc(-c2cccnc2N2CCN(CCN3CCOCC3)CC2)nc2ccccc12,0,0
O=C1CCC2=C1C(c1ccccc1C(=O)N1Cc3ccncc3C1)NC(=O)N2c1ccccc1,5,1
