name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,SESY,ASER,ACR,CwASo
Molpher_500k_0,dis,csk,73623.0,500108.0,22/42,0.5238095,0.1472142,0.0094138,0.0002989,4664.0
Molpher_500k_1,dis,csk,79881.0,499973.0,23/41,0.5609756,0.1597706,0.0027256,0.000288,1359.0
Molpher_500k_2,dis,csk,76590.0,500095.0,37/45,0.8222222,0.1531509,0.0038097,0.0004833,1898.0
Molpher_500k_3,dis,csk,81307.0,500081.0,35/47,0.7446809,0.1625877,0.0076813,0.0004307,3812.0
Molpher_500k_4,dis,csk,76324.0,500030.0,25/41,0.6097561,0.1526388,0.0052552,0.0003277,2614.0
Molpher_500k_mean,dis,csk,77545.0,500057.4,-,0.6522889,0.1550724,0.0057771,0.0003657,2869.4
