name,type_cluster,scaffold,SSo,TUPOR_,TUPOR,SESY,ASER
addcarbon_0,sim,csk,"1,000,000.0",21/46,0.4565217,0.000953,0.029398
addcarbon_1,sim,csk,"1,000,000.0",16/44,0.3636364,0.000941,0.010353
addcarbon_2,sim,csk,"1,000,000.0",12/42,0.2857143,0.000965,0.010092
addcarbon_3,sim,csk,"1,000,000.0",15/42,0.3571429,0.00091,0.010604
addcarbon_4,sim,csk,"1,000,000.0",12/42,0.2857143,0.000935,0.00329
addcarbon_mean,sim,csk,"1,000,000.0",-,0.3497459,0.0009408,0.0127474
