name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,SESY,ASER,ACR,CwASo
GB_GA_mut_r_0.5_0,sim,murcko,"177,181.0","907,643.0",73/172,0.4244186,0.19521,0.1722867,0.0004122,"133,393.0"
GB_GA_mut_r_0.5_1,sim,murcko,"122,574.0","847,664.0",32/93,0.344086,0.1446021,0.003623,0.0002611,"3,060.0"
GB_GA_mut_r_0.5_2,sim,murcko,"124,569.0","851,088.0",18/65,0.2769231,0.1463644,0.0107717,0.0001445,"9,070.0"
GB_GA_mut_r_0.5_3,sim,murcko,"129,903.0","856,873.0",20/57,0.3508772,0.1516012,0.0027419,0.000154,"2,343.0"
GB_GA_mut_r_0.5_4,sim,murcko,"130,270.0","858,245.0",7/50,0.14,0.1517865,2.45e-05,5.37e-05,21.0
GB_GA_mut_r_0.5_mean,sim,murcko,"136,899.4","864,302.6",-,0.307261,0.1579129,0.0378896,0.0002051,"29,577.4"
