name,type_cluster,scaffold,SSo,TUPOR_,TUPOR,SESY,ASER
GB_GA_mut_r_0.01_62.5k_0,sim,csk,62500.0,19/46,0.4130435,0.422544,0.019616
GB_GA_mut_r_0.01_62.5k_1,sim,csk,54526.0,13/44,0.2954545,0.1158163,0.0130763
GB_GA_mut_r_0.01_62.5k_2,sim,csk,55679.0,11/42,0.2619048,0.1234577,0.0256291
GB_GA_mut_r_0.01_62.5k_3,sim,csk,56225.0,8/42,0.1904762,0.1418408,0.0251134
GB_GA_mut_r_0.01_62.5k_4,sim,csk,56174.0,8/42,0.1904762,0.129989,0.0007655
GB_GA_mut_r_0.01_62.5k_mean,sim,csk,57020.8,-,0.270271,0.1867296,0.01684
