name,type_cluster,scaffold,uniq_scaffolds,set_size,TUPOR_,TUPOR,SESY,ASER,tRS
addcarbon_0,sim,csk,866.0,"1,000,000.0",3/38,0.0789474,0.000866,0.003098,"3,098.0"
addcarbon_1,sim,csk,846.0,"1,000,000.0",10/38,0.2631579,0.000846,0.029229,"29,229.0"
addcarbon_2,sim,csk,861.0,"1,000,000.0",13/37,0.3513514,0.000861,0.010216,"10,216.0"
addcarbon_3,sim,csk,878.0,"1,000,000.0",7/35,0.2,0.000878,0.022256,"22,256.0"
addcarbon_4,sim,csk,868.0,"1,000,000.0",4/35,0.1142857,0.000868,0.00637,"6,370.0"
addcarbon_mean,sim,csk,863.8,"1,000,000.0",-,0.2015485,0.0008638,0.0142338,"14,233.8"
