name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,SESY,ASER,ASR,CwASo
DrugEx_GT_epsilon_0.6_500k_0,sim,csk,"191,715.0","499,918.0",36/38,0.9473684,0.3834929,0.01739,0.0001878,"8,545.0"
DrugEx_GT_epsilon_0.6_500k_1,sim,csk,"161,693.0","499,921.0",31/38,0.8157895,0.3234371,0.0300004,0.0001918,"14,561.0"
DrugEx_GT_epsilon_0.6_500k_2,sim,csk,"163,716.0","499,798.0",29/37,0.7837838,0.3275643,0.011571,0.0001772,"5,717.0"
DrugEx_GT_epsilon_0.6_500k_3,sim,csk,"150,736.0","499,301.0",32/35,0.9142857,0.301894,0.0201788,0.0002123,"9,876.0"
DrugEx_GT_epsilon_0.6_500k_4,sim,csk,"159,747.0","499,789.0",29/35,0.8285714,0.3196289,0.0083974,0.0001816,"4,162.0"
DrugEx_GT_epsilon_0.6_500k_mean,sim,csk,"165,521.4","499,745.4",-,0.8579598,0.3312035,0.0175075,0.0001901,"8,572.2"
