name,type_cluster,scaffold,USo,SSo,TUPOR,TUPOR_unique,TUPOR_1,TUPOR_2,SESY,ASER,CwASo,KL_OS_IS,KL_OS_RS
Molpher_mean,sim,murcko,215633.0,836455.8,0.3211869,0.0148868,7.18e-05,0.1826192,0.2578516,0.004712,3916.6,0.0511999828436497,0.0645991847043756
DrugEx_GT_epsilon_0.1_mean,sim,murcko,410774.0,829714.2,0.2022694,0.0050178,5.45e-05,0.2395822,0.4958917,0.0081986,6545.2,0.0296587272756028,0.0584322225333342
DrugEx_GT_epsilon_0.6_mean,sim,murcko,556595.4,909782.8,0.5691019,0.0102642,0.0001244,0.8120212,0.6117602,0.004686,4258.2,0.0031518764507624,0.0377356257095714
