name,type_cluster,scaffold,USo,SSo,TUPOR,TUPOR_unique,TUPOR_set,SESY,ASER,CwASo
Molpher_mean,sim,murcko,215633.0,836455.8,0.3211869,0.0148868,0.003834,0.2578516,0.004712,3916.6
DrugEx_GT_mean,sim,murcko,478566.8,759571.2,0.6227107,0.0164374,0.0105019,0.63364,0.0046784,3066.0
DrugEx_GT_1_mean,sim,murcko,613486.8,925187.2,0.5465931,0.0089439,0.005914,0.6629327,0.0034261,3162.2
DrugEx_RNN_mean,sim,murcko,499436.8,889095.2,0.4020112,0.0090217,0.0046088,0.5551646,0.0022622,1966.0
REINVENT_mean,sim,murcko,633958.2,964342.8,0.1178349,0.001847,0.0012217,0.6574095,0.0002081,201.0
addcarbon_mean,sim,murcko,2971.2,1000000.0,0.0502969,0.163598,0.000503,0.0029712,0.0033116,3311.6
GB_GA_mean,sim,murcko,4381.8,9999.6,0.0887923,0.2042971,0.0887963,0.4381974,0.0088001,88.0
