name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,TUPOR_unique,TUPOR_set,SESY,ASER,CwASo
DrugEx_RNN_0,sim,csk,"135,578.0","886,730.0",32/38,0.8421053,0.0621122,0.0094967,0.1528966,0.0179626,"15,928.0"
DrugEx_RNN_1,sim,csk,"126,037.0","850,314.0",30/38,0.7894737,0.0626382,0.0092845,0.1482241,0.0339663,"28,882.0"
DrugEx_RNN_2,sim,csk,"102,306.0","849,448.0",30/37,0.8108108,0.0792535,0.0095451,0.1204382,0.0271188,"23,036.0"
DrugEx_RNN_3,sim,csk,"246,218.0","992,258.0",15/35,0.4285714,0.0174062,0.0043192,0.2481391,0.0123536,"12,258.0"
DrugEx_RNN_4,sim,csk,"128,830.0","863,824.0",26/35,0.7428571,0.0576618,0.0085996,0.1491392,0.0048783,"4,214.0"
DrugEx_RNN_mean,sim,csk,"147,793.8","888,514.8",-,0.7227637,0.0558144,0.008249,0.1637674,0.0192559,"16,863.6"
