UMAP1,UMAP2,set_label
11.461283,2.038236,IS
9.372762,3.9221277,IS
11.334275,2.2931538,IS
9.361533,3.9752686,IS
11.286805,2.3098114,IS
9.481054,4.1674333,IS
11.33401,2.3878047,IS
9.405358,4.5934386,IS
9.237033,4.296384,IS
9.198213,4.481685,IS
9.32687,4.086627,IS
9.432626,4.573545,IS
9.346002,4.151801,IS
9.356439,4.136728,IS
9.514498,4.524822,IS
9.185796,4.2854633,IS
9.32935,4.0314436,IS
9.291077,4.1771507,IS
9.339416,4.1708155,IS
9.404271,4.5627723,IS
9.419286,3.9701655,IS
10.8342,2.7988403,IS
10.794398,1.8959178,IS
10.874613,1.9972211,IS
10.740251,1.8503716,IS
10.80749,1.9355965,IS
11.027041,2.1161058,IS
10.794281,1.9043322,IS
10.829845,2.7819765,IS
11.029211,2.1488686,IS
10.779557,1.8976321,IS
9.370881,3.9397843,IS
11.03762,2.1429067,IS
10.770488,1.905082,IS
10.805325,1.9247062,IS
10.8082905,2.8108075,IS
10.938282,2.1287422,IS
11.043507,2.1452844,IS
11.148362,2.1992977,IS
11.439324,2.060199,IS
11.5060215,2.021055,IS
11.418974,2.052106,IS
10.0335455,5.3740005,IS
9.362012,4.0490003,IS
9.175559,4.2275934,IS
10.693592,1.8158156,IS
10.055588,5.4016285,IS
11.435428,2.040189,IS
10.702848,1.8202629,IS
10.189343,5.5035434,IS
10.026596,5.377684,IS
10.008106,3.759121,IS
10.789569,1.8978921,IS
9.47663,4.5766053,IS
10.793025,1.9023894,IS
11.286008,2.08494,IS
10.212162,5.5273037,IS
9.527389,5.0280223,IS
10.773891,1.8950491,IS
11.025733,2.1329486,IS
9.472247,4.277933,IS
9.730703,4.509925,IS
9.682229,4.5449557,IS
9.693521,4.571658,IS
9.712485,4.5481358,IS
-2.6071682,7.252021,IS
-2.6168964,7.2534585,IS
8.683257,5.4833574,IS
8.687386,5.47701,IS
8.774353,5.397071,IS
8.916676,5.283004,IS
8.70242,5.4409356,IS
8.714502,5.459801,IS
8.988598,5.003839,IS
9.051787,4.8487377,IS
3.6157973,9.790031,IS
3.8050144,9.710885,IS
3.625726,9.796231,IS
3.8201954,9.693841,IS
3.6106899,9.767563,IS
3.606426,9.778624,IS
3.6188612,9.802249,IS
3.8206534,9.688722,IS
-4.05685,8.222752,IS
3.7838593,9.67987,IS
3.6765954,9.760977,IS
3.868471,9.631834,IS
-5.2339053,3.9980192,IS
-5.078761,3.9663591,IS
-5.2320747,4.3014374,IS
-5.202157,4.312779,IS
-4.9877563,3.9135048,IS
-5.223098,4.33418,IS
-5.1018043,3.9251106,IS
-5.2067723,4.33918,IS
-5.2270064,4.3278875,IS
-5.234951,4.4185166,IS
-5.27867,4.413443,IS
-5.1939607,4.3413177,IS
-5.1946945,4.3446546,IS
-3.4174705,7.178941,IS
11.497523,2.030618,IS
3.0824397,8.472401,IS
3.0040617,8.156471,IS
2.943815,8.246405,IS
2.9820452,8.154143,IS
3.0948715,8.409274,IS
3.1057887,8.372663,IS
3.038383,8.309742,IS
2.8203104,8.253956,IS
2.9969711,8.232063,IS
3.022949,8.011781,IS
2.9833472,8.101028,IS
10.744734,1.8587383,IS
9.375338,3.9367468,IS
10.762665,1.8707769,IS
9.344561,4.1537023,IS
9.328069,4.672931,IS
9.411619,4.5732155,IS
10.701533,2.9114096,IS
10.679159,2.92734,IS
2.8499372,8.159954,IS
11.446791,2.0439253,IS
10.666013,1.7892721,IS
9.448983,4.6129503,IS
8.669085,5.471065,IS
8.6956415,5.3556294,IS
8.670127,5.4411993,IS
8.671834,5.504097,IS
8.70429,5.394675,IS
8.713265,5.503582,IS
8.65631,5.4503517,IS
8.673361,5.441759,IS
4.603257,13.705298,IS
4.602744,13.736329,IS
8.542378,5.2654605,IS
8.660697,5.4485965,IS
8.951608,5.022816,IS
3.4009743,5.031595,IS
3.472056,5.0664377,IS
3.235334,4.9291863,IS
3.4682581,5.06205,IS
8.669356,5.380623,IS
5.093444,0.27261877,IS
5.219569,0.34997347,IS
-0.7711775,-0.7647654,IS
-0.7645341,-0.66984546,IS
-0.6814981,-0.722357,IS
9.731248,4.577528,IS
9.576595,4.6190715,IS
9.651973,4.5260983,IS
9.480055,4.2178254,IS
9.716269,4.5469832,IS
-4.823875,5.5807114,IS
5.5711794,0.500024,IS
10.825909,2.797094,IS
0.6268838,2.7757564,IS
7.852366,7.276486,IS
0.45737505,2.5380487,IS
-2.9199471,6.536656,IS
-2.8994863,6.43761,IS
-2.925224,6.495242,IS
-3.0073912,6.5247555,IS
-2.8616252,6.3809547,IS
-2.7421772,6.5948234,IS
-2.698899,6.6359973,IS
-2.7107973,6.6859164,IS
0.37812927,7.7434793,IS
0.3090099,7.911878,IS
0.25088605,7.860716,IS
0.27274436,7.845553,IS
-0.008425037,7.3450646,IS
0.2794808,7.8047404,IS
0.36480373,7.724228,IS
0.31808847,7.6160774,IS
0.15837602,7.5793214,IS
-8.003552,3.8379924,IS
-7.668047,4.1188865,IS
-7.602743,4.2545223,IS
-7.6831656,4.1046915,IS
-7.646784,4.141022,IS
-7.6875534,4.099897,IS
-7.5809236,4.2130365,IS
-7.729118,3.9910223,IS
-7.6019998,4.254958,IS
1.3741114,-1.2470664,IS
1.3966329,-0.63776517,IS
1.3291271,-0.5229457,IS
1.1993167,-0.2311465,IS
1.5456523,-1.4918114,IS
1.09627,-0.48520455,IS
1.291492,-1.3076922,IS
-3.0348995,6.6039987,IS
0.538835,8.43125,IS
0.6644342,8.253558,IS
0.55969256,8.364739,IS
0.6540901,8.249093,IS
-8.286142,4.0164003,IS
-8.269286,3.998222,IS
1.9173619,-1.2412329,IS
1.8853656,-0.9312876,IS
4.0318704,8.176657,IS
4.0164247,8.187541,IS
4.121821,8.213246,IS
3.8636055,8.023374,IS
-0.567361,-1.5515369,IS
-0.44231102,-1.3726379,IS
2.1741772,1.4674195,IS
-0.6306328,-0.8817363,IS
-0.62067634,-0.9458134,IS
-8.081716,3.8964722,IS
4.26811,1.5538901,IS
1.9667816,-1.3505785,IS
-5.136078,3.7835348,IS
-3.3045797,2.7011836,IS
8.177238,6.899155,IS
8.200291,6.915833,IS
-3.543013,0.64171064,IS
-3.4455636,0.7519145,IS
-3.5330515,0.65657866,IS
-3.5345812,0.65568954,IS
5.151448,13.090034,IS
5.1280365,13.20644,IS
5.1266303,13.1772175,IS
5.1535783,13.205827,IS
