UMAP1,UMAP2,set_label
6.1480765,13.120591,IS
7.962639,12.155159,IS
8.530002,11.629812,IS
5.8543468,13.435134,IS
7.94481,12.171709,IS
6.182482,13.056412,IS
5.814366,13.482766,IS
5.846909,13.431715,IS
6.1668305,13.071636,IS
5.8411317,13.47342,IS
6.193144,13.02603,IS
8.510609,11.619055,IS
6.0407996,13.387031,IS
5.9971223,13.429116,IS
5.766616,13.560749,IS
6.0079927,13.449496,IS
8.435099,11.73695,IS
5.898437,13.390203,IS
5.826325,13.495218,IS
8.421954,11.765696,IS
5.876207,13.476388,IS
8.520503,11.630178,IS
6.0692453,13.312659,IS
7.0893793,13.346055,IS
8.522937,11.602529,IS
6.0778513,13.089472,IS
8.53221,11.657977,IS
6.129752,13.178207,IS
8.503063,11.672455,IS
7.158216,13.418646,IS
5.8400655,13.492461,IS
8.522333,11.618677,IS
8.527477,11.616799,IS
5.842622,13.511351,IS
9.993443,11.664117,IS
9.893952,10.299119,IS
10.219948,12.140751,IS
10.186441,12.121161,IS
10.119768,11.929646,IS
10.157617,12.0799,IS
10.142663,11.970525,IS
7.5787215,10.258532,IS
7.4977274,10.170122,IS
7.5476832,10.22538,IS
7.516401,10.199985,IS
2.094488,2.4178898,IS
2.0695539,2.421103,IS
2.0379503,2.5177443,IS
2.021817,2.3748693,IS
2.1130757,2.4309042,IS
2.0704803,2.4806278,IS
2.0975893,2.4506123,IS
6.2706943,12.4045105,IS
6.26737,12.422156,IS
6.463835,13.77525,IS
6.479274,13.647231,IS
6.450332,13.740031,IS
6.5917964,13.60836,IS
6.3890853,13.639952,IS
6.4868674,13.691875,IS
-1.2530409,2.967378,IS
-1.2318954,2.946629,IS
2.8126297,-4.809323,IS
2.2778447,-4.724125,IS
2.5772262,-4.8275876,IS
2.0654151,-4.8328924,IS
2.1384714,-4.926247,IS
2.3252404,-4.7040305,IS
2.7881575,-4.838797,IS
2.5539367,-4.7960663,IS
3.0062222,-4.90999,IS
2.9199746,-4.9176774,IS
2.066336,-5.0287566,IS
2.2863362,-4.7626686,IS
2.130678,-4.8895917,IS
2.6705194,-4.9550166,IS
2.770233,-4.803979,IS
2.7016428,-4.910574,IS
2.8094592,-4.8958864,IS
2.3187938,-4.7429,IS
2.1178615,-4.7914667,IS
2.2089152,-4.0230064,IS
2.294723,-4.0798197,IS
2.8453722,-4.8825145,IS
6.0665956,13.120571,IS
2.0063043,-5.557162,IS
2.0239203,-5.1851616,IS
2.5006518,-5.3722606,IS
2.5191333,-5.29484,IS
2.4970489,-5.299727,IS
2.5778592,-5.24654,IS
2.489448,-5.4078817,IS
2.6114664,-5.2733054,IS
2.605964,-5.389407,IS
2.4866705,-5.3158855,IS
2.494934,-5.3817406,IS
2.5122125,-5.3182235,IS
2.6394851,-5.0023866,IS
2.5792744,-5.340279,IS
2.2602084,-3.999477,IS
-1.3587099,3.0696557,IS
8.378567,11.495683,IS
1.9552903,2.4970453,IS
2.011737,2.349642,IS
2.1493993,-4.9792128,IS
2.8225589,-4.7326813,IS
8.38747,11.026312,IS
3.1696377,-4.8300605,IS
2.98502,2.4394124,IS
9.855273,-5.3756275,IS
8.437192,11.743842,IS
7.1692595,13.40117,IS
6.265651,12.413337,IS
8.975589,11.015759,IS
6.4667706,13.717127,IS
2.287463,-5.5663357,IS
6.22954,13.56722,IS
6.2444186,13.519865,IS
2.4211721,-4.6112595,IS
2.6304457,-4.741798,IS
5.8964214,9.941397,IS
5.76617,9.976108,IS
5.639678,10.102119,IS
5.7435255,9.994486,IS
5.943992,9.936558,IS
5.578894,9.92032,IS
5.678753,10.062479,IS
5.7933292,9.985392,IS
5.7275395,10.057857,IS
5.88713,9.929755,IS
8.580737,0.6535001,IS
8.347868,0.506221,IS
8.463338,0.5037063,IS
8.343193,0.5241987,IS
8.36957,0.54682106,IS
8.339603,0.50072086,IS
8.4024725,0.56124437,IS
8.440705,0.64558697,IS
8.397481,0.48428807,IS
5.4334993,-0.12039333,IS
5.5258822,-0.08596308,IS
5.2371397,0.14596793,IS
5.1744714,0.19653752,IS
5.201279,0.2212922,IS
2.0261557,0.6886921,IS
3.2664855,0.40550083,IS
1.9185612,0.8022317,IS
2.0021446,0.6953914,IS
2.8055809,0.76513505,IS
2.2583382,0.54790163,IS
1.1059391,2.373953,IS
0.93809634,3.3414714,IS
1.9962692,0.7052072,IS
2.2206635,1.0015643,IS
3.1615162,0.8015702,IS
2.2393925,0.48448244,IS
3.3306234,1.0026612,IS
2.1634529,0.59476143,IS
2.2100315,0.54147184,IS
1.251035,2.2018209,IS
1.0670226,2.3288813,IS
1.1110815,2.3475645,IS
2.1003346,0.59985757,IS
1.7394171,1.2239705,IS
1.1222775,2.2719903,IS
1.7886363,1.1586219,IS
2.0598118,1.0281001,IS
1.0898932,2.377397,IS
2.0472262,0.5522792,IS
0.8753767,3.4269633,IS
2.0312486,0.65044665,IS
2.0399349,0.6743848,IS
3.0755866,0.8072067,IS
1.1642196,2.2764919,IS
3.1398509,0.84356445,IS
1.9359137,0.7805905,IS
1.9566821,0.68685436,IS
2.3307774,0.6095677,IS
2.121654,0.6350089,IS
2.2717884,0.67113835,IS
2.581013,0.6367424,IS
1.0685531,2.5833695,IS
1.966612,0.7813032,IS
1.1347172,2.279491,IS
2.2047927,0.8304981,IS
1.9867651,0.68838954,IS
2.2200909,0.5218044,IS
0.8768743,3.0027273,IS
0.7509884,3.1089394,IS
1.0786475,2.2925184,IS
3.0796688,0.845996,IS
2.1124268,1.0656987,IS
1.9525692,0.71572363,IS
1.1900157,2.2035913,IS
2.8189876,0.78836364,IS
3.1759865,0.8039305,IS
3.1113117,0.2102268,IS
8.897958,-0.5851309,IS
8.941324,-0.4426449,IS
8.933453,-0.45982102,IS
8.901756,-0.41568434,IS
8.876406,-0.31439406,IS
8.924728,-0.38895923,IS
9.057506,-0.38647923,IS
9.101315,-0.34045678,IS
8.898638,-0.32536203,IS
9.621459,-0.78503245,IS
8.8534155,-0.41565722,IS
8.85358,-0.16404372,IS
8.960067,-0.20162012,IS
9.599007,-0.8252384,IS
9.124969,-0.16067852,IS
8.978063,-0.5269141,IS
8.744735,-0.14669316,IS
8.789029,-0.12176783,IS
9.567639,-0.40707016,IS
9.403526,-0.25908104,IS
9.513343,-0.4257072,IS
8.760823,-0.1365573,IS
9.61841,-0.5255025,IS
9.053585,-0.2308824,IS
9.609939,-0.80346847,IS
8.745894,-0.1844954,IS
8.776209,-0.14795984,IS
9.592436,-0.49808532,IS
9.602516,-0.48371774,IS
8.806901,-0.11544599,IS
16.618893,4.7972803,IS
16.622482,4.7926817,IS
16.622953,4.7895765,IS
16.61343,4.78809,IS
9.622702,2.0007594,IS
14.790525,5.405048,IS
14.668327,5.284636,IS
14.728383,5.349682,IS
14.699976,5.494556,IS
14.725283,5.4924903,IS
17.136244,4.540129,IS
17.232452,5.0528255,IS
17.231089,5.0349464,IS
17.166706,4.359838,IS
17.17904,4.4504166,IS
17.183506,4.4614296,IS
17.144812,4.442718,IS
17.229622,5.033659,IS
17.185335,4.43876,IS
17.231026,5.045954,IS
17.003157,4.617225,IS
5.478466,0.20430513,IS
15.993074,5.2192044,IS
17.1039,4.453928,IS
17.106934,4.5917115,IS
17.171942,4.4063497,IS
17.140179,4.470708,IS
17.150095,4.4762,IS
17.200802,4.4464617,IS
17.154415,4.484866,IS
17.15934,4.5218163,IS
17.179913,4.5644884,IS
17.163937,4.500001,IS
17.189318,4.4966264,IS
17.161493,4.488909,IS
17.281193,4.6612654,IS
17.273472,4.677176,IS
17.27278,4.3809977,IS
15.995139,5.23408,IS
15.991989,5.2338905,IS
5.501369,0.020900736,IS
6.0110664,9.8942995,IS
4.7891445,9.948814,IS
17.15501,4.529431,IS
5.2159624,0.14062679,IS
11.386085,9.559957,IS
11.742341,8.880656,IS
0.8097069,4.158265,IS
9.690938,-0.49555415,IS
15.9954405,5.2341237,IS
16.007381,5.2424326,IS
16.049604,5.1948905,IS
5.182128,-1.946621,IS
5.178595,-1.7729744,IS
3.4371946,0.56330866,IS
4.4810905,0.9047495,IS
14.487681,5.6898212,IS
9.271208,5.624831,IS
5.6669927,10.079589,IS
6.8928576,1.3327569,IS
5.0843554,4.207955,IS
6.808356,1.3751097,IS
6.7342224,1.33629,IS
6.4258738,1.4486058,IS
6.1262364,1.2827383,IS
5.7712874,1.1998996,IS
6.8549085,1.548598,IS
6.346573,1.4925282,IS
6.430475,1.5169697,IS
6.392631,1.4974902,IS
5.9173794,1.2291756,IS
6.93197,1.6750475,IS
6.0857368,1.3230734,IS
5.90855,1.214056,IS
6.17998,1.3647926,IS
6.102095,1.3490102,IS
5.278876,4.083358,IS
6.8867307,1.5502605,IS
5.798058,1.1504045,IS
6.225862,1.2964426,IS
5.8627887,1.2145134,IS
5.8664937,1.5596157,IS
6.3227563,1.3643296,IS
7.089034,-0.9320122,IS
7.083555,-0.89772695,IS
6.7211714,-0.49713972,IS
6.6892605,-0.5552084,IS
6.7017426,-0.579062,IS
6.6994376,-0.4880471,IS
6.721929,-0.5725851,IS
6.6781316,-0.5299814,IS
4.5178704,6.4902496,IS
4.5654454,6.680863,IS
4.5300574,6.449552,IS
4.492938,6.578843,IS
4.4727063,6.506579,IS
3.450318,4.976233,IS
3.0758846,5.0597053,IS
3.4190042,4.8839703,IS
3.4708006,4.9307837,IS
3.3045936,4.8062167,IS
3.4147446,4.884471,IS
3.3914595,4.8599644,IS
3.4597306,4.950988,IS
3.3988235,4.7660666,IS
3.0723133,5.0546613,IS
3.0003483,5.111971,IS
3.2773821,4.7496376,IS
3.2192333,4.940131,IS
4.2390947,7.5443397,IS
4.402765,7.446889,IS
4.283934,7.48091,IS
5.4831047,6.68518,IS
5.5030093,6.8157916,IS
5.4390483,6.643249,IS
4.308537,7.434882,IS
5.4606776,6.6393495,IS
5.4701667,6.7424994,IS
5.5013843,6.7500167,IS
5.4150085,6.7292695,IS
10.2971525,1.5462381,IS
10.331509,1.5864279,IS
10.0678425,1.4774003,IS
10.09903,1.4560531,IS
10.157222,1.4437817,IS
10.0697155,1.3867654,IS
10.024371,1.3510962,IS
10.148966,1.4468513,IS
10.099729,1.4175777,IS
10.102999,1.4495456,IS
10.144658,1.4141926,IS
9.76749,1.7054994,IS
10.133645,1.3842118,IS
10.128825,1.3843528,IS
10.126547,1.4269913,IS
10.031202,1.4295442,IS
4.212608,4.4768796,IS
4.803768,5.2466826,IS
4.223259,4.8445606,IS
4.845471,5.168717,IS
4.351866,5.0692153,IS
4.178461,5.0693913,IS
4.3080935,4.3229456,IS
4.372626,4.7410994,IS
4.322943,5.063506,IS
4.6454124,4.9329977,IS
4.690137,5.444484,IS
4.7628446,5.229376,IS
4.6388736,5.334781,IS
4.2672124,5.069688,IS
4.2070613,4.937206,IS
4.416162,5.012706,IS
4.105573,4.365358,IS
4.6183405,5.3537846,IS
4.3801565,5.0305443,IS
4.26835,4.471245,IS
4.779939,5.214934,IS
4.6478558,5.324465,IS
4.140428,5.060292,IS
4.249919,5.1033883,IS
4.3404193,4.197413,IS
4.5119214,5.295707,IS
4.1806765,4.4444656,IS
4.263898,4.787161,IS
4.814569,5.1635723,IS
4.437628,4.9463816,IS
4.2101054,5.040466,IS
4.489303,5.0784693,IS
4.8001275,5.1976166,IS
4.349364,4.577519,IS
4.4151893,4.8002815,IS
4.6095634,5.4859996,IS
4.109485,4.344571,IS
4.3551345,4.438382,IS
4.674976,5.386423,IS
4.697934,5.0867767,IS
4.1967945,5.0509534,IS
4.2321496,4.5015244,IS
5.1407347,5.5252624,IS
5.0051665,5.3109913,IS
4.1581035,4.512896,IS
5.0602446,5.436766,IS
5.346042,5.6610074,IS
4.2007103,4.415728,IS
4.499994,4.9275265,IS
4.318584,4.3219724,IS
