UMAP1,UMAP2,set_label
11.855187,2.8483171,IS
11.746381,2.7345927,IS
11.756121,2.696023,IS
11.751071,2.9034882,IS
5.926883,7.9545646,IS
6.0561748,7.943486,IS
6.022122,7.9992914,IS
6.0638695,7.982186,IS
6.0004625,7.8896184,IS
6.059267,7.896169,IS
5.9651666,7.9601026,IS
6.096049,7.7924175,IS
5.597557,8.638614,IS
5.7518263,8.592587,IS
7.402762,7.1445284,IS
7.815786,8.5684395,IS
7.5648813,7.0211215,IS
7.888086,8.487126,IS
7.8121066,6.8672285,IS
7.7122555,6.9422736,IS
7.6869707,6.852394,IS
11.833795,3.156991,IS
11.835651,3.1504054,IS
6.097211,6.6933365,IS
6.7091436,6.8049054,IS
6.016496,6.5612493,IS
6.788118,6.54386,IS
6.0127015,6.679692,IS
5.8019524,6.410835,IS
5.656648,6.5247188,IS
6.672099,6.5977964,IS
5.8982134,6.5661044,IS
6.008219,6.64775,IS
5.7621937,6.487802,IS
5.836375,6.572946,IS
5.7646523,6.446302,IS
6.746345,6.631339,IS
5.848328,6.782287,IS
3.2884684,0.47083375,IS
3.2558832,0.4353092,IS
3.2394326,0.44177988,IS
3.262444,0.5254796,IS
3.2611961,0.46785656,IS
2.6758506,0.56540495,IS
2.5744457,0.5718259,IS
2.5685697,0.57163364,IS
6.2094254,0.7571964,IS
2.5987847,0.6286541,IS
2.5402277,0.69916874,IS
5.172886,8.531635,IS
5.0754504,8.510795,IS
5.1951394,8.523947,IS
4.7456923,7.8503814,IS
5.1026583,8.2220745,IS
2.5945883,0.11197576,IS
7.684305,-1.9096959,IS
6.211711,8.08768,IS
6.2848067,7.892197,IS
6.2190776,8.110837,IS
6.0647035,7.806853,IS
6.182568,8.0056925,IS
6.8793497,7.168,IS
6.2525806,8.044922,IS
6.169803,8.163264,IS
6.1794777,8.041741,IS
6.12815,7.834862,IS
6.772963,7.2962427,IS
6.171439,7.9454904,IS
6.7673945,7.1164546,IS
8.098657,2.0350378,IS
6.374384,4.3575606,IS
5.4949045,8.826275,IS
1.5393459,1.4644543,IS
2.4452791,0.55623746,IS
9.093166,1.271817,IS
9.177169,1.2875788,IS
9.194579,2.3918946,IS
2.1021726,0.7304246,IS
2.1584258,0.77032995,IS
1.9308101,1.376274,IS
1.9481431,1.343225,IS
1.9237032,1.2223507,IS
1.8020252,1.1377833,IS
1.9117128,1.3032898,IS
1.9245443,1.2891207,IS
1.9243311,1.2606548,IS
1.9825581,1.3264165,IS
1.8160006,1.1282638,IS
1.8776326,1.3221046,IS
1.886329,1.1190802,IS
2.2008903,0.71954954,IS
2.139041,0.68703526,IS
1.8957452,1.1524801,IS
1.9448469,0.98070437,IS
1.8995975,1.1457272,IS
2.029025,1.0409374,IS
4.513892,7.873957,IS
16.469358,3.8954797,IS
16.512245,3.937576,IS
16.453762,3.9115124,IS
16.459253,3.8863597,IS
16.460426,3.8881078,IS
1.8614173,0.7982205,IS
1.6210071,0.91818655,IS
1.5916582,0.9562558,IS
1.821174,0.75387764,IS
1.6561013,0.89597815,IS
1.4472457,0.7388282,IS
1.6743163,1.1035199,IS
1.5089484,0.6722545,IS
1.6750537,0.8297336,IS
11.8303795,3.188059,IS
8.561178,9.087477,IS
4.5481625,7.732519,IS
5.126524,8.512743,IS
5.2670827,8.54668,IS
6.1730237,7.693101,IS
6.1235313,7.709021,IS
6.1599097,7.8412595,IS
8.364989,8.786879,IS
11.1140995,0.564808,IS
1.4512591,0.7171979,IS
3.9462137,0.31927377,IS
3.9782608,-1.4968268,IS
5.9425464,5.526351,IS
1.8019111,1.3041991,IS
1.4865595,0.73285794,IS
6.0765643,6.8553457,IS
6.095603,6.8272643,IS
6.1605763,6.8012695,IS
1.8397,1.445375,IS
4.906864,8.070128,IS
5.6334295,2.0589998,IS
5.658986,2.4428794,IS
5.5336328,2.2223308,IS
5.5906806,2.8780391,IS
5.489303,2.901596,IS
5.2135563,3.2885802,IS
5.565914,3.0223458,IS
5.3964543,2.7960026,IS
5.1331773,3.1182969,IS
5.2018957,3.079973,IS
5.4368253,3.1402326,IS
4.960499,2.8840787,IS
5.528885,2.955876,IS
5.721577,3.0029995,IS
5.3700805,2.4538717,IS
5.1084065,3.1097288,IS
5.407364,2.5021994,IS
5.0689135,3.3130767,IS
5.459864,3.1145296,IS
5.6759405,2.8648896,IS
5.483706,3.1558168,IS
4.6817245,2.4702976,IS
5.334675,2.4188323,IS
5.2807603,3.2428553,IS
5.6034923,2.7266507,IS
5.5186877,2.8680062,IS
5.3617945,2.4855616,IS
5.0190763,2.310097,IS
5.070425,2.6331842,IS
5.1148586,2.3115,IS
5.071906,2.2806458,IS
5.1885858,2.5973094,IS
5.1974893,2.652907,IS
4.68462,2.6192296,IS
5.4096503,2.272306,IS
4.6218224,2.411276,IS
5.410496,2.3657644,IS
4.6394053,2.422934,IS
5.8702416,2.6489975,IS
5.3953595,2.392801,IS
5.5654416,2.5323832,IS
4.6714096,2.6393332,IS
5.1444154,2.3058422,IS
5.518475,2.7804945,IS
5.6496177,2.874342,IS
4.7546525,2.4268045,IS
4.655963,2.6236346,IS
5.5641484,2.774515,IS
5.3798823,2.6378155,IS
5.2552752,2.4140701,IS
5.568258,2.9320693,IS
5.5443635,2.7034757,IS
4.5626645,2.7498662,IS
5.6066346,2.757937,IS
4.9019256,2.585404,IS
5.4986653,2.9797776,IS
5.550685,2.6760948,IS
5.0455747,2.6329572,IS
5.2747593,2.281491,IS
5.0392647,2.872244,IS
5.262254,2.512938,IS
4.5397277,2.7094822,IS
5.148505,2.9270923,IS
5.1095676,2.6862776,IS
5.210083,2.933025,IS
5.1006503,2.8913054,IS
4.8852496,2.6108801,IS
5.5337625,2.7950897,IS
4.6553545,2.575958,IS
5.721351,2.7239618,IS
5.502203,2.3297007,IS
5.0143466,2.8084412,IS
4.5822096,2.8044097,IS
5.982023,3.1441708,IS
5.0497723,2.38217,IS
4.632443,2.572648,IS
5.216511,2.9715128,IS
5.701348,2.7523074,IS
5.537231,2.5694475,IS
5.619878,2.8034687,IS
4.9529448,2.61822,IS
5.608006,2.1740158,IS
4.964905,2.6040237,IS
5.4978313,3.1650558,IS
4.641152,2.7712998,IS
5.570663,2.9997113,IS
4.868099,2.832746,IS
5.5358205,2.437618,IS
4.652885,2.5417626,IS
5.7336454,2.647111,IS
4.659228,2.6553986,IS
5.047936,2.6663918,IS
5.3586845,2.0936933,IS
4.7032933,2.5962117,IS
5.6990848,2.7275195,IS
5.4740806,2.2596579,IS
5.5835476,2.724821,IS
5.7973704,2.5686803,IS
5.299507,2.1018353,IS
7.5306506,8.157708,IS
8.186015,8.894566,IS
8.187139,8.856743,IS
8.22514,8.880066,IS
8.088707,8.748311,IS
8.234922,8.929667,IS
7.9839787,8.771033,IS
8.147525,8.86096,IS
8.262737,8.874537,IS
8.106231,8.79875,IS
8.199992,8.901856,IS
11.735681,2.9177477,IS
11.850685,2.9074142,IS
11.744997,2.900827,IS
11.743243,2.9130404,IS
4.932768,3.729705,IS
4.876873,3.6983,IS
4.934698,3.7252712,IS
4.93073,3.7717454,IS
4.948044,3.7204547,IS
4.6938357,3.349081,IS
5.0708385,3.8528118,IS
5.0461993,3.8812013,IS
5.050025,3.8540492,IS
5.124088,3.7607083,IS
5.106511,3.7973855,IS
4.6005864,2.8507965,IS
4.80349,2.9406111,IS
4.648542,3.1388388,IS
4.566597,2.9225745,IS
4.7277737,3.2326007,IS
4.533014,2.9639149,IS
4.553776,2.9854333,IS
5.932248,0.66352695,IS
5.928038,0.6612279,IS
11.618275,-1.1051705,IS
5.2418866,3.785254,IS
4.6796727,3.4114459,IS
4.7643003,3.3411899,IS
5.1839933,3.6990318,IS
5.178176,3.7608733,IS
5.189557,3.7213976,IS
5.073009,3.6326008,IS
5.0840106,3.678305,IS
5.114012,3.5885057,IS
5.173991,3.7481024,IS
5.169187,3.74627,IS
5.209321,3.6897604,IS
5.1505294,3.8022692,IS
5.210334,3.690122,IS
5.25475,3.6502094,IS
5.235047,3.6728039,IS
5.229288,3.6756601,IS
1.465558,5.217816,IS
1.4643872,5.21403,IS
1.4915618,5.186512,IS
1.4484988,5.229883,IS
1.4498172,5.229177,IS
1.4492271,5.2301183,IS
1.4498993,5.22933,IS
4.7271647,3.3607466,IS
4.691604,3.182911,IS
4.4473014,2.9022644,IS
4.4505243,2.7744632,IS
2.6041162,0.08521402,IS
2.5953817,0.12258705,IS
2.5927231,0.12835415,IS
3.7338285,-3.0076842,IS
11.820369,-0.4992606,IS
11.9274845,-0.54689157,IS
11.929652,-0.5280865,IS
11.955035,-0.54434043,IS
11.940132,-0.53702426,IS
11.827824,-0.6887201,IS
11.861178,-0.761741,IS
11.832772,-0.66380477,IS
8.18433,9.113621,IS
4.6376863,2.9445481,IS
4.7654543,3.0580263,IS
4.376189,1.7759526,IS
4.700708,1.9925824,IS
5.5557394,2.332341,IS
4.8279347,-0.22434664,IS
4.897253,3.4922056,IS
4.9794564,3.372118,IS
4.8291564,3.4165223,IS
4.756787,3.21555,IS
2.0236366,-3.8224297,IS
2.0449965,-3.8059762,IS
5.2772336,2.0120442,IS
5.356519,2.5339587,IS
5.4338136,2.4028647,IS
5.509478,2.639666,IS
5.548022,2.5818937,IS
5.2518506,2.617677,IS
5.457958,2.197895,IS
5.1187153,-0.2069034,IS
5.281565,-0.12837575,IS
5.3282676,-0.11267876,IS
4.85159,1.8807019,IS
5.0671806,1.9358835,IS
5.343693,2.637079,IS
4.81851,1.8809415,IS
5.3194833,2.3558502,IS
5.0041366,2.108893,IS
5.2904935,2.1418447,IS
5.440898,2.135606,IS
5.653843,2.2985785,IS
8.286108,8.9658165,IS
4.562436,0.7737142,IS
