name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,SESY,ASER,ACR,CwASo
GB_GA_mut_r_0.5_500k_0,dis,csk,12523.0,428194.0,27/42,0.6428571,0.0292461,0.0647566,0.0021607,26042.0
GB_GA_mut_r_0.5_500k_1,dis,csk,12139.0,422439.0,18/41,0.4390244,0.0287355,0.0056994,0.001485,2394.0
GB_GA_mut_r_0.5_500k_2,dis,csk,12240.0,429739.0,27/45,0.6,0.0284824,0.0008711,0.0022108,374.0
GB_GA_mut_r_0.5_500k_3,dis,csk,13169.0,442452.0,25/47,0.5319149,0.0297637,0.5155476,0.001902,150510.0
GB_GA_mut_r_0.5_500k_4,dis,csk,11181.0,426053.0,22/41,0.5365854,0.0262432,0.0143853,0.0019715,6042.0
GB_GA_mut_r_0.5_500k_mean,dis,csk,12250.4,429775.4,-,0.5500764,0.0284942,0.120252,0.001946,37072.4
