name,type_cluster,scaffold,USo,SSo,TUPOR,SESY,ASER,ASR,CwASo
Molpher_10k_mean,sim,csk,"2,288.6","10,131.4",0.2609632,0.2259027,0.0126877,0.0042075,126.2
REINVENT_10k_mean,sim,csk,"4,871.2","9,934.0",0.2837025,0.4903538,0.0129836,0.0021406,126.8
DrugEx_GT_epsilon_0.1_10k_mean,sim,csk,"4,824.0","9,990.8",0.2616298,0.4828457,0.0151703,0.0019693,146.8
DrugEx_GT_epsilon_0.6_10k_mean,sim,csk,"6,027.8","9,994.8",0.5236375,0.603088,0.0169516,0.0031934,166.0
DrugEx_RNN_epsilon_0.1_10k_mean,sim,csk,"3,631.6","9,990.2",0.195314,0.3634816,0.019838,0.0019259,193.4
DrugEx_RNN_epsilon_0.6_10k_mean,sim,csk,"3,137.6","9,915.4",0.4899207,0.3164093,0.0275133,0.0057836,263.6
GB_GA_mut_r_0.01_10k_mean,sim,csk,"5,892.2","9,999.6",0.3005609,0.5892431,0.0061427,0.0018834,61.0
addcarbon_10k_mean,sim,csk,721.8,"10,000.0",0.1958342,0.07218,0.0147649,0.0101976,144.4
