name,type_cluster,scaffold,USo,SSo,TUPOR,SESY,ASER,ASR,CwASo,median_OS_IS
Molpher_mean,sim,csk,"103,807.6","836,443.4",0.69861,0.1241568,0.0132272,0.000247,"10,759.2",0.6346153846153846
DrugEx_GT_epsilon_0.1_mean,sim,csk,"136,686.8","829,696.4",0.6115993,0.1650926,0.014132,0.0001666,"11,091.0",0.5555555555555556
DrugEx_GT_epsilon_0.6_mean,sim,csk,"272,645.2","909,722.6",0.8686283,0.2996846,0.0176265,0.000117,"15,686.4",0.6046511627906976
DrugEx_RNN_epsilon_0.1_mean,sim,csk,"83,562.4","847,611.2",0.4403698,0.0984482,0.0205994,0.0001952,"17,138.8",0.5961538461538461
DrugEx_RNN_epsilon_0.6_mean,sim,csk,"88,952.2","891,914.4",0.8248608,0.0996754,0.0263262,0.0003427,"22,643.4",0.5925925925925926
addcarbon_mean,sim,csk,863.8,"1,000,000.0",0.2015485,0.0008638,0.0145423,0.0086869,"14,233.8",1.0
