name,type_cluster,scaffold,USo,SSo,TUPOR,TUPOR_unique,TUPOR_1,TUPOR_2,SESY,ASER,CwASo,KL_OS_IS,KL_OS_RS
Molpher_mean,sim,csk,103807.6,836443.4,0.69861,0.0674203,0.0001676,0.4710406,0.1241568,0.0130255,10759.2,0.0113403922181927,0.0242972808156892
DrugEx_GT_epsilon_0.1_mean,sim,csk,136686.8,829696.4,0.6115993,0.0453931,0.000152,0.5733186,0.1650926,0.0136962,11091.0,0.0051959583154564,0.0184395469123254
DrugEx_GT_epsilon_0.6_mean,sim,csk,272645.2,909722.6,0.8686283,0.0320363,0.0001895,1.4732121,0.2996846,0.0172674,15686.4,0.0003868177429298,0.0139331160653871
