name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,TUPOR_unique,TUPOR_set,SESY,ASER,CwASo
DrugEx_GT_0,dis,murcko,493954.0,887056.0,37/92,0.4021739,0.0081419,0.0045338,0.5568465,0.0022096,1960.0
DrugEx_GT_1,dis,murcko,544621.0,903889.0,15/34,0.4411765,0.0081006,0.0048809,0.6025308,0.000427,386.0
DrugEx_GT_2,dis,murcko,513152.0,889392.0,9/64,0.140625,0.0027404,0.0015811,0.5769694,0.0004295,382.0
DrugEx_GT_3,dis,murcko,543452.0,893054.0,39/76,0.5131579,0.0094426,0.0057461,0.6085321,0.0040311,3600.0
DrugEx_GT_4,dis,murcko,567567.0,886439.0,43/98,0.4387755,0.0077308,0.0049499,0.6402776,0.003522,3122.0
DrugEx_GT_mean,dis,murcko,532549.2,891966.0,-,0.3871818,0.0072313,0.0043384,0.5970313,0.0021238,1890.0
