name,type_cluster,scaffold,uniq_scaffolds,set_size,TUPOR_,TUPOR,SESY,ASER,tRS
Molpher_0,sim,csk,109136.0,855964.0,29/38,0.7631579,0.1275007,0.0143768,12306.0
Molpher_1,sim,csk,102110.0,818233.0,28/38,0.7368421,0.1247933,0.0209574,17148.0
Molpher_2,sim,csk,101071.0,804684.0,23/37,0.6216216,0.1256033,0.0131617,10591.0
Molpher_3,sim,csk,98457.0,801639.0,26/35,0.7428571,0.1228196,0.0124495,9980.0
Molpher_4,sim,csk,108264.0,901697.0,22/35,0.6285714,0.1200669,0.0041821,3771.0
Molpher_mean,sim,csk,103807.6,836443.4,-,0.69861,0.1241568,0.0130255,10759.2
