name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,SESY,ASER,ASR,CwASo
DrugEx_RNN_epsilon_0.6_10k_0,dis,csk,2981.0,9926.0,6/40,0.15,0.3003224,0.0075112,0.0020168,74.0
DrugEx_RNN_epsilon_0.6_10k_1,dis,csk,2539.0,9862.0,8/23,0.3478261,0.2574528,0.0022358,0.0031608,22.0
DrugEx_RNN_epsilon_0.6_10k_2,dis,csk,2946.0,9897.0,2/40,0.05,0.297666,0.0002021,0.0006793,2.0
DrugEx_RNN_epsilon_0.6_10k_3,dis,csk,3331.0,9923.0,13/37,0.3513514,0.3356848,0.0163884,0.003918,160.0
DrugEx_RNN_epsilon_0.6_10k_4,dis,csk,3779.0,9890.0,25/43,0.5813953,0.3821031,0.0658476,0.0066596,611.0
DrugEx_RNN_epsilon_0.6_10k_mean,dis,csk,3115.2,9899.6,-,0.2961146,0.3146458,0.018437,0.0032869,173.8
