name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,SESY,ASER,ACR,CwASo
GB_GA_mut_r_0.01_0,sim,murcko,"487,094.0","1,000,000.0",16/172,0.0930233,0.487094,0.0033894,3.28e-05,"3,378.0"
GB_GA_mut_r_0.01_1,sim,murcko,"162,480.0","873,184.0",9/93,0.0967742,0.1860776,0.0053978,5.54e-05,"4,688.0"
GB_GA_mut_r_0.01_2,sim,murcko,"166,002.0","892,970.0",5/65,0.0769231,0.1858987,0.007711,3.01e-05,"6,833.0"
GB_GA_mut_r_0.01_3,sim,murcko,"195,208.0","900,977.0",4/57,0.0701754,0.2166626,0.0008209,2.05e-05,739.0
GB_GA_mut_r_0.01_4,sim,murcko,"186,321.0","898,715.0",0/50,0.0,0.2073193,0.0,0.0,0.0
GB_GA_mut_r_0.01_mean,sim,murcko,"239,421.0","913,169.2",-,0.0673792,0.2566105,0.0034638,2.78e-05,"3,127.6"
