receptor,generator,split,threshold,TUPOR,ASER,SESY
Glucocorticoid_receptor,DrugEx_GT_epsilon_0.6_250k,sim,0.85,0.7026726913576358,0.01946990495904792,0.9598452308473717
Glucocorticoid_receptor,DrugEx_GT_epsilon_0.6_250k,sim,0.9,0.5857037743139355,0.00763162516041898,0.9598452308473717
Glucocorticoid_receptor,DrugEx_GT_epsilon_0.6_250k,sim,0.95,0.4310747112528667,0.00231212499357622,0.9598452308473717
Glucocorticoid_receptor,DrugEx_GT_epsilon_0.6_250k,sim,1.0,0.28030376299144166,0.0004571156310342,0.9598452308473717
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,dis,0.5,0.6691376575313648,0.10174382481309352,0.9077301241252126
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,dis,0.55,0.40110516451723316,0.047593748062344475,0.9077301241252126
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,dis,0.6,0.22620034240290843,0.023425171254347992,0.9077301241252126
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,dis,0.65,0.15830549660535603,0.011907384907811139,0.9077301241252126
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,dis,0.7,0.11338390936613722,0.005997694721556841,0.9077301241252126
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,dis,0.75,0.08533056609222903,0.002996451377815749,0.9077301241252126
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,dis,0.8,0.05917650589274108,0.001355408489879605,0.9077301241252126
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,dis,0.85,0.04187721902823682,0.0005216831698456024,0.9077301241252126
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,dis,0.9,0.028281635867436282,0.00016962834437553052,0.9077301241252126
Glucocorticoid_receptor,DrugEx_RNN_epsilon_0.1_250k,dis,0.95,0.015882279989819538,2.8004823308841734e-05,0.9077301241252126
