name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,TUPOR_unique,TUPOR_set,SESY,ASER,CwASo
REINVENT_0,dis,murcko,"638,413.0","964,492.0",8/92,0.0869565,0.0013621,0.0009016,0.6619163,0.0003287,317.0
REINVENT_1,dis,murcko,"615,225.0","961,827.0",3/34,0.0882353,0.0014342,0.0009174,0.6396421,3.85e-05,37.0
REINVENT_2,dis,murcko,"653,966.0","967,898.0",5/64,0.078125,0.0011946,0.0008072,0.6756559,9.71e-05,94.0
REINVENT_3,dis,murcko,"579,997.0","963,387.0",8/76,0.1052632,0.0018149,0.0010926,0.6020395,0.0001785,172.0
REINVENT_4,dis,murcko,"615,145.0","965,768.0",18/98,0.1836735,0.0029859,0.0019018,0.636949,0.0004049,391.0
REINVENT_mean,dis,murcko,"620,549.2","964,674.4",-,0.1084507,0.0017583,0.0011241,0.6432406,0.0002095,202.2
