name,type_cluster,scaffold,uniq_scaffolds,set_size,TUPOR_,TUPOR,SESY,ASER,tRS
DrugEx_0,sim,murcko,680845.0,1000000.0,45/132,0.3409091,0.680845,0.013406,13406.0
DrugEx_1,sim,murcko,703603.0,1000000.0,30/116,0.2586207,0.703603,0.003556,3556.0
DrugEx_2,sim,murcko,686350.0,1000000.0,14/62,0.2258065,0.68635,0.000338,338.0
DrugEx_3,sim,murcko,773246.0,1000000.0,20/53,0.3773585,0.773246,0.00068,680.0
DrugEx_4,sim,murcko,747767.0,1000000.0,7/45,0.1555556,0.747767,4.5e-05,45.0
DrugEx_mean,sim,murcko,718362.2,1000000.0,-,0.2716501,0.7183622,0.003605,3605.0
