name,type_cluster,scaffold,SSo,TUPOR_,TUPOR,SESY,ASER
DrugEx_RNN_epsilon_0.6_250k_0,dis,csk,"247,076.0",31/42,0.7380952,0.1578178,0.0355543
DrugEx_RNN_epsilon_0.6_250k_1,dis,csk,"245,977.0",26/41,0.6341463,0.1560268,0.0102472
DrugEx_RNN_epsilon_0.6_250k_2,dis,csk,"243,908.0",37/45,0.8222222,0.1284296,0.0051223
DrugEx_RNN_epsilon_0.6_250k_3,dis,csk,"248,066.0",35/47,0.7446809,0.1466465,0.1020405
DrugEx_RNN_epsilon_0.6_250k_4,dis,csk,"243,240.0",26/41,0.6341463,0.1091679,0.025239
DrugEx_RNN_epsilon_0.6_250k_mean,dis,csk,"245,653.4",-,0.7146582,0.1396177,0.0356406
