name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,SESY,ASER,CwASo
DrugEx_RNN_epsilon_0.6_250k_0,dis,csk,38993.0,247076.0,31/42,0.7380952,0.1578178,0.0355543,8483.0
DrugEx_RNN_epsilon_0.6_250k_1,dis,csk,38379.0,245977.0,26/41,0.6341463,0.1560268,0.0102472,2495.0
DrugEx_RNN_epsilon_0.6_250k_2,dis,csk,31325.0,243908.0,37/45,0.8222222,0.1284296,0.0051223,1243.0
DrugEx_RNN_epsilon_0.6_250k_3,dis,csk,36378.0,248066.0,35/47,0.7446809,0.1466465,0.1020405,22969.0
DrugEx_RNN_epsilon_0.6_250k_4,dis,csk,26554.0,243240.0,26/41,0.6341463,0.1091679,0.025239,5988.0
DrugEx_RNN_epsilon_0.6_250k_mean,dis,csk,34325.8,245653.4,-,0.7146582,0.1396177,0.0356406,8235.6
