name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,TUPOR_unique,TUPOR_set,SESY,ASER,CwASo
DrugEx_RNN_0,dis,murcko,420950.0,862101.0,13/92,0.1413043,0.0033568,0.0016391,0.4882839,0.0009825,847.0
DrugEx_RNN_1,dis,murcko,431050.0,861153.0,18/34,0.5294118,0.0122819,0.0061477,0.5005498,0.000281,242.0
DrugEx_RNN_2,dis,murcko,410053.0,871867.0,5/64,0.078125,0.0019052,0.0008961,0.470316,8.49e-05,74.0
DrugEx_RNN_3,dis,murcko,410335.0,854881.0,37/76,0.4868421,0.0118645,0.0056949,0.4799908,0.0021734,1858.0
DrugEx_RNN_4,dis,murcko,488634.0,896048.0,39/98,0.3979592,0.0081443,0.0044413,0.5453212,0.0012466,1117.0
DrugEx_RNN_mean,dis,murcko,432204.4,869210.0,-,0.3267285,0.0075106,0.0037638,0.4968923,0.0009537,827.6
