name,type_cluster,scaffold,SSo,TUPOR_,TUPOR,SESY,ASER
DrugEx_GT_epsilon_0.6_125k_0,dis,murcko,"124,979.0",9/92,0.0978261,0.6979173,0.0011842
DrugEx_GT_epsilon_0.6_125k_1,dis,murcko,"124,848.0",9/34,0.2647059,0.7001874,0.0004165
DrugEx_GT_epsilon_0.6_125k_2,dis,murcko,"124,944.0",6/64,0.09375,0.7141439,0.0004802
DrugEx_GT_epsilon_0.6_125k_3,dis,murcko,"124,903.0",22/76,0.2894737,0.7342498,0.0048117
DrugEx_GT_epsilon_0.6_125k_4,dis,murcko,"124,975.0",19/98,0.1938776,0.749998,0.0022404
DrugEx_GT_epsilon_0.6_125k_mean,dis,murcko,"124,929.8",-,0.1879266,0.7192993,0.0018266
