name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,SESY,ASER,ASR,CwASo,median_OS_IS
DrugEx_RNN_epsilon_0.1_0,dis,csk,59829.0,816954.0,12/40,0.3,0.0732342,0.0018198,0.0002006,1484.0,0.65
DrugEx_RNN_epsilon_0.1_1,dis,csk,68831.0,800534.0,9/23,0.3913043,0.0859814,0.0028286,0.0001308,2258.0,0.673469387755102
DrugEx_RNN_epsilon_0.1_2,dis,csk,73945.0,827443.0,6/40,0.15,0.0893657,2.66e-05,8.11e-05,22.0,0.6842105263157895
DrugEx_RNN_epsilon_0.1_3,dis,csk,55848.0,768679.0,13/37,0.3513514,0.0726545,0.0014709,0.0002328,1129.0,0.7571428571428571
DrugEx_RNN_epsilon_0.1_4,dis,csk,101550.0,774574.0,32/43,0.744186,0.1311043,0.0194956,0.0003152,14812.0,0.6111111111111112
DrugEx_RNN_epsilon_0.1_mean,dis,csk,72000.6,797636.8,-,0.3873683,0.090468,0.0051283,0.0001921,3941.0,0.673469387755102
