name,type_cluster,scaffold,SSo,TUPOR_,TUPOR,SESY,ASER
REINVENT_62.5k_0,dis,murcko,"62,110.0",0/92,0.0,0.8107873,0.0
REINVENT_62.5k_1,dis,murcko,"61,708.0",0/34,0.0,0.788828,0.0
REINVENT_62.5k_2,dis,murcko,"62,208.0",0/64,0.0,0.8465471,0.0
REINVENT_62.5k_3,dis,murcko,"60,682.0",14/76,0.1842105,0.7483273,0.0029333
REINVENT_62.5k_4,dis,murcko,"61,757.0",1/98,0.0102041,0.7436404,9.72e-05
REINVENT_62.5k_mean,dis,murcko,"61,693.0",-,0.0388829,0.787626,0.0006061
