name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,SESY,ASER,ACR,CwASo
GB_GA_mut_r_0.01_100k_0,dis,csk,"9,192.0","87,701.0",13/42,0.3095238,0.1048107,0.0284371,0.0014163,"2,425.0"
GB_GA_mut_r_0.01_100k_1,dis,csk,"9,408.0","86,801.0",11/41,0.2682927,0.1083858,0.002402,0.0011706,208.0
GB_GA_mut_r_0.01_100k_2,dis,csk,"10,252.0","88,665.0",7/45,0.1555556,0.1156262,0.0004062,0.0006833,36.0
GB_GA_mut_r_0.01_100k_3,dis,csk,"25,363.0","100,000.0",15/47,0.3191489,0.25363,0.0084,0.0005918,833.0
GB_GA_mut_r_0.01_100k_4,dis,csk,"8,293.0","84,751.0",9/41,0.2195122,0.0978514,0.0330574,0.0010864,"2,712.0"
GB_GA_mut_r_0.01_100k_mean,dis,csk,"12,501.6","89,583.6",-,0.2544066,0.1360608,0.0145405,0.0009897,"1,242.8"
