name,type_cluster,scaffold,uniq_scaffolds,set_size,TUPOR_,TUPOR,SESY,ASER,tRS
Molpher_mean,sim,csk,103807.6,836443.4,-,0.69861,0.1241568,0.0130255,10759.2
addcarbon_mean,sim,csk,863.8,1000000.0,-,0.2015485,0.0008638,0.0142338,14233.8
