name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,SESY,ASER,ASR,CwASo
Molpher_1k_0,sim,murcko,340.0,"1,086.0",2/115,0.0173913,0.3130755,0.0121156,0.0059172,13.0
Molpher_1k_1,sim,murcko,451.0,"1,238.0",1/100,0.01,0.3642973,0.0024291,0.0022222,3.0
Molpher_1k_2,sim,murcko,344.0,"1,038.0",3/58,0.0517241,0.3314066,0.007767,0.0087977,8.0
Molpher_1k_3,sim,murcko,341.0,"1,089.0",1/51,0.0196078,0.3131313,0.0009191,0.0029412,1.0
Molpher_1k_4,sim,murcko,438.0,"1,258.0",0/40,0.0,0.3481717,0.0,0.0,0.0
Molpher_1k_mean,sim,murcko,382.8,"1,141.8",-,0.0197447,0.3340165,0.0046462,0.0039756,5.0
