chembl_id,pchembl_value,stand_value,canonical_smiles,scaffolds_csk
30,CHEMBL123153,5.7,2000.0,CO[C@H]1C(=O)N2C(C(=O)N3CCCC3)=C(CSc3nc(=O)c(=O)[nH]n3C)CS(=O)(=O)[C@H]12,C1CCC(CCC2CCC3CCC3C2CC2CCCC2)CC1
31,CHEMBL43457,5.1,8000.0,CC(C)Cc1ccc2c(c1O)C(=O)c1c(O)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
32,CHEMBL40884,5.41,3900.0,CCCCCc1ccc2c(c1O)C(=O)c1c(O)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
33,CHEMBL43983,5.29,5100.0,CCCCOC(=O)Oc1cccc2c1C(=O)c1c(OC(=O)OCCCC)cc(C)cc1C2=O,C1CCC2CC3CCCCC3CC2C1
34,CHEMBL40192,4.72,19000.0,COc1cccc2c1C(=O)c1c(ccc(C)c1O)C2=O,C1CCC2CC3CCCCC3CC2C1
35,CHEMBL9977,4.0,100000.0,CCCCCCCCCCCCCCCC(=O)OCc1cc(=O)c(O)co1,C1CCCCC1
36,CHEMBL41317,5.38,4200.0,CCCCCCc1ccc2c(c1O)C(=O)c1c(O)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
37,CHEMBL9816,4.72,19000.0,CC(=O)NC(C)(C)C(=O)Oc1ccc(C(=O)c2ccccc2)cc1,C1CCC(CC2CCCCC2)CC1
38,CHEMBL40861,4.96,11000.0,C=CCc1ccc2c(c1O)C(=O)c1c(OC)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
39,CHEMBL10318,4.92,12000.0,CC(C(=O)O)c1cc(C(=O)c2ccccc2)ccc1OC(=O)C(C)(C)C,C1CCC(CC2CCCCC2)CC1
40,CHEMBL40878,4.92,12000.0,CCCCOC(=O)Oc1cccc2c1C(=O)c1c(OC(=O)OCCCC)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
41,CHEMBL9995,4.44,36000.0,CC(C)(C)C(=O)OCc1cc(=O)c(OC(=O)C(C)(C)C)co1,C1CCCCC1
42,CHEMBL41525,4.89,13000.0,O=C1c2cccc(O)c2C(=O)c2c1ccc(Cc1ccccc1)c2O,C1CCC(CC2CCC3CC4CCCCC4CC3C2)CC1
43,CHEMBL9617,4.1,80000.0,CCCCCCCC/C=C/CCCCCCCC(=O)OCc1cc(=O)c(OC(=O)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)co1,C1CCC(CCC23CC4CC(CC(C4)C2)C3)CC1
44,CHEMBL9632,4.7,20000.0,O=C(c1ccccc1)c1ccc(OC(=O)C2CCCCC2)cc1,C1CCC(CCC2CCC(CC3CCCCC3)CC2)CC1
45,CHEMBL416614,5.89,1300.0,CCCCOC(=O)Oc1cc(OC(=O)OCCCC)c2c(c1)C(=O)c1cc(C)cc(OC(=O)OCCCC)c1C2=O,C1CCC2CC3CCCCC3CC2C1
46,CHEMBL10226,4.8,16000.0,CC(=O)Oc1ccc(C(=O)c2ccccc2)cc1,C1CCC(CC2CCCCC2)CC1
47,CHEMBL289034,5.06,8700.0,CCCc1ccc2c(c1O)C(=O)c1c(OC)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
48,CHEMBL274788,4.37,43000.0,CC(C)(C)C(=O)Oc1coc(COC2CCOCC2)cc1=O,C1CCC(CCC2CCCCC2)CC1
49,CHEMBL10529,5.82,1500.0,CC(C)(C)C(=O)Oc1ccc(C(O)c2ccc(OC(=O)C(C)(C)C)cc2)cc1,C1CCC(CC2CCCCC2)CC1
50,CHEMBL43576,5.23,5900.0,CCCCc1ccc2c(c1O)C(=O)c1c(OC)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
51,CHEMBL40849,5.0,9900.0,Cc1ccc2c(c1O)C(=O)c1c(O)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
52,CHEMBL108815,5.8,1600.0,CC(C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@H](C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCc1ccc(Br)cc1)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1)C(C)C,C1CCC(CCC(CCC2CCCC2)C2CC3CC4CC(C4)C3C2)CC1
53,CHEMBL429563,5.22,6000.0,CC(C)(C(=O)O)C(=O)Oc1ccc(C(=O)c2ccccc2)cc1,C1CCC(CC2CCCCC2)CC1
54,CHEMBL10148,5.52,3000.0,CC(C)(C)C(=O)Oc1ccc(C(OC(=O)CCC(=O)[O-])c2ccc(OC(=O)C(C)(C)C)cc2)cc1,C1CCC(CC2CCCCC2)CC1
55,CHEMBL290774,5.17,6700.0,COc1cccc2c1C(=O)c1c(ccc(Cc3ccccc3)c1O)C2=O,C1CCC(CC2CCC3CC4CCCCC4CC3C2)CC1
56,CHEMBL276823,5.82,1500.0,CCC(C)CC(=O)Oc1ccc(C(=O)c2ccc(OC(=O)CC(C)CC)cc2OC(=O)CC(C)CC)c(OC(=O)CC(C)CC)c1,C1CCC(CC2CCCCC2)CC1
57,CHEMBL40292,5.38,4200.0,CCCc1ccc2c(c1O)C(=O)c1c(O)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
58,CHEMBL10202,5.72,1900.0,CC(C)(C)C(=O)Oc1coc(COC(=O)c2ccc(-c3ccccc3)cc2)cc1=O,C1CCC(CCCC2CCC(C3CCCCC3)CC2)CC1
59,CHEMBL10198,5.08,8400.0,Cc1cc(C)c(C(=O)OCc2cc(=O)c(OC(=O)C(C)(C)C)co2)c(C)c1,C1CCC(CCCC2CCCCC2)CC1
60,CHEMBL288236,4.96,11000.0,COc1cccc2c1C(=O)c1c(ccc(CC(C)C)c1O)C2=O,C1CCC2CC3CCCCC3CC2C1
61,CHEMBL9901,5.21,6100.0,CCCCCCC/C=C/CCCCCCCCC(=O)Oc1coc(COC(=O)CCCCCCC/C=C/CCCCCCCC)cc1=O,C1CCCCC1
62,CHEMBL44123,5.68,2100.0,CCCCCCc1ccc2c(c1OC(=O)OCCCC)C(=O)c1c(OC(=O)OCCCC)cccc1C2=O,C1CCC2CC3CCCCC3CC2C1
63,CHEMBL10503,5.82,1500.0,CC(CO)Cc1cc(C(=O)c2ccccc2)ccc1OC(=O)C(C)(C)C,C1CCC(CC2CCCCC2)CC1
64,CHEMBL431246,5.3,5000.0,Cc1ccc(CC[C@H](NC(=O)[C@H]2CCCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(C)C)B2O[C@@H]3C[C@@H]4C[C@@H](C4(C)C)[C@]3(C)O2)cc1,C1CCC(CCC(CCC2CCCC2)C2CC3CC4CC(C4)C3C2)CC1
65,CHEMBL9933,5.1,8000.0,CC(C)(C)C(=O)Oc1ccccc1C(=O)c1ccccc1OC(=O)C(C)(C)C,C1CCC(CC2CCCCC2)CC1
66,CHEMBL109434,5.46,3500.0,CC(C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@H](C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCc1ccccc1)B1O[C@@H]2C[C@@H]3C[C@@H](C3(C)C)[C@]2(C)O1)C(C)C,C1CCC(CCC(CCC2CCCC2)C2CC3CC4CC(C4)C3C2)CC1
67,CHEMBL41539,4.89,13000.0,COc1cc(OC)c2c(c1)C(=O)c1ccc(C)c(O)c1C2=O,C1CCC2CC3CCCCC3CC2C1
68,CHEMBL9981,5.66,2200.0,CC(Cc1cc(C(=O)c2ccccc2)ccc1OC(=O)C(C)(C)C)C(=O)O,C1CCC(CC2CCCCC2)CC1
69,CHEMBL41092,4.75,18000.0,Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,C1CCC2CC3CCCCC3CC2C1
70,CHEMBL9601,5.57,2700.0,CC(C)(C)C(=O)Oc1ccc(C(=O)c2ccc(O)cc2)cc1,C1CCC(CC2CCCCC2)CC1
71,CHEMBL39204,4.77,17000.0,COc1cc(OC)c2c(c1)C(=O)c1cc(C(Br)Br)cc(OC)c1C2=O,C1CCC2CC3CCCCC3CC2C1
72,CHEMBL9784,5.21,6200.0,CCC(=O)Oc1ccc(C(=O)c2ccccc2)cc1,C1CCC(CC2CCCCC2)CC1
