name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,TUPOR_unique,TUPOR_1,TUPOR_2,SESY,ASER,CwASo,metric_1,metric_2
GB_GA_0,dis,murcko,4265.0,10000.0,0/92,0.0,0.0,0.0,0.0,0.4265,0.0,0.0,0.0,0.0
GB_GA_1,dis,murcko,4177.0,9996.0,1/34,0.0294118,0.0704136,0.0001854,0.022773,0.4178671,0.0001,1.0,0.0002395,0.0001001
GB_GA_2,dis,murcko,5009.0,9995.0,3/64,0.046875,0.0935816,0.0008723,0.068272,0.5011506,0.0010005,10.0,0.0005993,0.0010015
GB_GA_3,dis,murcko,4372.0,10000.0,7/76,0.0921053,0.2106708,0.0021092,0.1213351,0.4372,0.0121,121.0,0.0016037,0.0122482
GB_GA_4,dis,murcko,4255.0,9999.0,3/98,0.0306122,0.0719442,0.0009307,0.0404097,0.4255426,0.0019002,19.0,0.0007056,0.0019038
GB_GA_mean,dis,murcko,4415.6,9998.0,-,0.0398009,0.089322,0.0008195,0.050558,0.4416521,0.0030201,30.2,0.0006296,0.0030507
