name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,SESY,ASER,CwASo
GB_GA_mut_r_0.5_250k_0,sim,csk,12954.0,226850.0,37/46,0.8043478,0.0571038,0.3769097,62097.0
GB_GA_mut_r_0.5_250k_1,sim,csk,7415.0,211725.0,29/44,0.6590909,0.0350218,0.0177912,3701.0
GB_GA_mut_r_0.5_250k_2,sim,csk,7310.0,212791.0,30/42,0.7142857,0.034353,0.0366244,7518.0
GB_GA_mut_r_0.5_250k_3,sim,csk,7824.0,214342.0,23/42,0.547619,0.0365024,0.0925782,18162.0
GB_GA_mut_r_0.5_250k_4,sim,csk,7872.0,214564.0,21/42,0.5,0.0366884,0.0033388,714.0
GB_GA_mut_r_0.5_250k_mean,sim,csk,8675.0,216054.4,-,0.6450687,0.0399339,0.1054485,18438.4
