name,type_cluster,scaffold,USo,SSo,TUPOR_,TUPOR,SESY,ASER,CwASo
DrugEx_GT_epsilon_0.6_250k_0,dis,murcko,"165,100.0","249,960.0",12/92,0.1304348,0.6605057,0.0012297,307.0
DrugEx_GT_epsilon_0.6_250k_1,dis,murcko,"166,001.0","249,692.0",14/34,0.4117647,0.6648231,0.0004969,124.0
DrugEx_GT_epsilon_0.6_250k_2,dis,murcko,"168,127.0","249,889.0",6/64,0.09375,0.6728067,0.0005405,135.0
DrugEx_GT_epsilon_0.6_250k_3,dis,murcko,"175,026.0","249,819.0",25/76,0.3289474,0.7006112,0.0048065,"1,195.0"
DrugEx_GT_epsilon_0.6_250k_4,dis,murcko,"178,903.0","249,951.0",26/98,0.2653061,0.7157523,0.00235,586.0
DrugEx_GT_epsilon_0.6_250k_mean,dis,murcko,"170,631.4","249,862.2",-,0.2460406,0.6828998,0.0018847,469.4
