name,type_cluster,scaffold,USo,SSo,TUPOR,SESY,ASER,ASR,CwASo
Molpher_100k_mean,dis,csk,"18,089.0","102,838.8",0.3193328,0.1761073,0.0046792,0.0006462,467.6
REINVENT_100k_mean,dis,csk,"29,214.6","99,218.0",0.384996,0.2944533,0.0143242,0.0005082,"1,361.8"
DrugEx_GT_epsilon_0.1_100k_mean,dis,csk,"28,386.0","99,918.0",0.3702693,0.2840998,0.0048322,0.0004743,478.8
DrugEx_GT_epsilon_0.6_100k_mean,dis,csk,"42,335.8","99,935.6",0.5568271,0.4236259,0.0078493,0.0004753,775.0
DrugEx_RNN_epsilon_0.1_100k_mean,dis,csk,"17,642.0","99,946.8",0.2455366,0.1765179,0.0051156,0.0004727,503.6
DrugEx_RNN_epsilon_0.6_100k_mean,dis,csk,"17,451.8","99,015.6",0.4951585,0.1762631,0.0185555,0.0009832,"1,747.6"
GB_GA_mut_r_0.01_100k_mean,dis,csk,"32,930.4","99,993.8",0.3646089,0.3293243,0.0030829,0.0003985,306.4
addcarbon_100k_mean,dis,csk,853.2,"100,000.0",0.0334034,0.008532,0.001876,0.0013971,187.0
